"","Gene.name","ENSEMBLE ID","log2FoldChange","pvalue","padj"
"1","DPM1","ENSG00000000419",-0.131462740955216,0.036983004258377,0.286124167273886
"2","SCYL3","ENSG00000000457",0.104389239758233,0.079704069645535,0.414431075378579
"3","C1orf112","ENSG00000000460",-0.176545941938223,0.0178023597870344,0.186849196223289
"4","FGR","ENSG00000000938",-0.00400732362184675,0.880924434759136,0.977932624673199
"5","CFH","ENSG00000000971",-0.0466883048583455,0.268432709816942,0.70747010235336
"6","FUCA2","ENSG00000001036",-0.122080555931349,0.0580349676450608,0.358421792536118
"7","GCLC","ENSG00000001084",-0.0216249842506301,0.662710721206589,0.925284436447014
"8","NFYA","ENSG00000001167",0.0309107524744301,0.571861743166346,0.897086501230783
"9","STPG1","ENSG00000001460",0.0769717909410463,0.187617037666395,0.612822163176446
"10","NIPAL3","ENSG00000001461",0.106680481467827,0.0977264991409421,0.456722644090643
"11","LAS1L","ENSG00000001497",-0.114158733850657,0.0661472533936243,0.379614444057097
"12","ENPP4","ENSG00000001561",0.0174780787946539,0.655842356647478,0.924528397280533
"13","SEMA3F","ENSG00000001617",-0.0162531439654753,0.555852507866061,0.891599252426355
"14","ANKIB1","ENSG00000001629",0.102865378144843,0.107230830061465,0.479586513860897
"15","CYP51A1","ENSG00000001630",-0.560894431536122,6.14234445363543e-05,0.00319421789726433
"16","KRIT1","ENSG00000001631",0.0674718677088194,0.225700991075057,0.660858095041014
"17","RAD52","ENSG00000002016",-0.0514148076106497,0.340192005295656,0.77136252790443
"18","BAD","ENSG00000002330",-0.0290973343098104,0.526075470580827,0.883382302005097
"19","LAP3","ENSG00000002549",-0.11569528318015,0.0509702742412165,0.334882025717585
"20","CD99","ENSG00000002586",0.161889632953291,0.0231872365507464,0.218989505818407
"21","AOC1","ENSG00000002726",-0.0042616525811696,0.834470433269794,0.968730885596558
"22","MAD1L1","ENSG00000002822",0.0116245457920018,0.682110213388224,0.930927277447579
"23","LASP1","ENSG00000002834",0.0296604688078466,0.477347058704187,0.857288926867328
"24","SNX11","ENSG00000002919",-0.000351825536965748,0.970476150535352,0.993193355290348
"25","TMEM176A","ENSG00000002933",0.0223229299182966,0.0823552068682201,0.420935284598767
"26","M6PR","ENSG00000003056",-0.0234133289336253,0.649381578190285,0.921813827907897
"27","KLHL13","ENSG00000003096",-0.0349459270652487,0.346148914192716,0.775606548716863
"28","ICA1","ENSG00000003147",0.0547159969198758,0.258618930502067,0.696105124662934
"29","ALS2","ENSG00000003393",0.0404565585853512,0.461196799863667,0.84784022160042
"30","CASP10","ENSG00000003400",-0.0308284770585527,0.215456345594893,0.649527726180801
"31","CFLAR","ENSG00000003402",0.201413758923509,0.0235020401805723,0.220850458281647
"32","TFPI","ENSG00000003436",0.0614442300510835,0.257381142032223,0.693935834113388
"33","NDUFAF7","ENSG00000003509",-0.0468547951420997,0.425814692241927,0.827978737855219
"34","RBM5","ENSG00000003756",0.184416365139284,0.0155853333093703,0.173675950726957
"35","ARF5","ENSG00000004059",0.0131080349501836,0.747495586969938,0.948908877859053
"36","SARM1","ENSG00000004139",0.0109053683826521,0.785751663001865,0.959732705440633
"37","POLDIP2","ENSG00000004142",-0.0810558377471667,0.163461719966251,0.578780658211123
"38","PLXND1","ENSG00000004399",0.0366114498661887,0.497413387002957,0.869341977936093
"39","AK2","ENSG00000004455",-0.0428143468229517,0.357519481496291,0.783561074653128
"40","CD38","ENSG00000004468",-0.07533555863207,0.145842399517643,0.550385513820811
"41","FKBP4","ENSG00000004478",-0.249655014290599,0.000448887192708946,0.0151219461208387
"42","KDM1A","ENSG00000004487",-0.322317469067472,5.06169157502541e-05,0.00277293689242978
"43","RBM6","ENSG00000004534",0.0426346701486915,0.43571938127522,0.834027182456163
"44","CAMKK1","ENSG00000004660",-0.0107879390573538,0.841257077967505,0.971238480040668
"45","RECQL","ENSG00000004700",-0.0764436663258205,0.204306021283502,0.634149788681589
"46","VPS50","ENSG00000004766",0.0253604342225109,0.519720780463515,0.880272210912677
"47","ARHGAP33","ENSG00000004777",-0.00361094613903336,0.939324729958339,0.988996073145778
"48","NDUFAB1","ENSG00000004779",-0.170805489100376,0.0301665942409573,0.256688027834034
"49","PDK4","ENSG00000004799",0.0558564778391496,0.00234088221470188,0.050423104970569
"50","SLC22A16","ENSG00000004809",0.0293816864286405,0.498067444104265,0.869517690092222
"51","SLC25A13","ENSG00000004864",-0.0485765741181581,0.343729103129816,0.774172385485709
"52","ST7","ENSG00000004866",-0.00388599088428117,0.936553280275748,0.988742071802726
"53","CDC27","ENSG00000004897",-0.0911625072557078,0.13324625321201,0.527113255259426
"54","HCCS","ENSG00000004961",-0.0564893428487775,0.300833557987015,0.736295234487072
"55","DVL2","ENSG00000004975",-0.163280375834119,0.00415213445725756,0.0750513482493495
"56","UPF1","ENSG00000005007",-0.0621783079372757,0.170349517837276,0.590462460245603
"57","SKAP2","ENSG00000005020",-0.00587789578046368,0.905587559610461,0.979991009184491
"58","SLC25A5","ENSG00000005022",-0.10776340402695,0.0673716851846906,0.381598734308351
"59","MCUB","ENSG00000005059",-0.0248941125470928,0.542628825512,0.888084484618553
"60","POLR2J","ENSG00000005075",-0.0382805125734047,0.486900217246594,0.863957552002597
"61","DHX33","ENSG00000005100",-0.0431023563439484,0.400370560774906,0.809353949061765
"62","LIG3","ENSG00000005156",-0.0503342971327874,0.3765949529649,0.797648287636398
"63","RPAP3","ENSG00000005175",-0.124047348893077,0.0660287624220868,0.379340787758496
"64","ACSM3","ENSG00000005187",0.12002632601911,0.0462453028640437,0.32131484185267
"65","REXO5","ENSG00000005189",0.120634360632698,0.076745130005404,0.407810017875938
"66","CIAPIN1","ENSG00000005194",-0.0781019147818065,0.189698209947365,0.615064676280105
"67","SPPL2B","ENSG00000005206",0.30652353654437,0.000700640730532784,0.0209267581764522
"68","FAM214B","ENSG00000005238",0.40646229404646,0.00347723841523079,0.0666774989192644
"69","PRKAR2B","ENSG00000005249",0.00355131637048309,0.921368762044006,0.984845343719538
"70","MSL3","ENSG00000005302",0.0174526742556809,0.728367175324054,0.943334868617385
"71","CREBBP","ENSG00000005339",0.100283118949736,0.122495801075268,0.508758084124705
"72","TSPOAP1","ENSG00000005379",-0.00375168869923395,0.904468616748135,0.979809852942591
"73","MPO","ENSG00000005381",0.00254970680462415,0.85490659337078,0.972802152176364
"74","GCFC2","ENSG00000005436",-0.0359407172696792,0.504191534972518,0.872813301554915
"75","WDR54","ENSG00000005448",-0.169589395709444,0.0284087729824657,0.2487559181026
"76","CROT","ENSG00000005469",0.539223298921527,0.00121167846121685,0.0311527379092697
"77","KMT2E","ENSG00000005483",0.226256322579097,0.000493346481690254,0.0162118294770566
"78","RHBDD2","ENSG00000005486",0.547130283107557,9.20647778523173e-05,0.00453800280769597
"79","IBTK","ENSG00000005700",-0.0729349426851395,0.212815911744256,0.645721088711943
"80","ZNF195","ENSG00000005801",0.00278160341720721,0.948868697578788,0.990189363515526
"81","MYCBP2","ENSG00000005810",-0.0133951379987983,0.80010713487849,0.962263811973594
"82","FBXL3","ENSG00000005812",-0.0332480952025243,0.53478996858362,0.884928432207825
"83","ITGAL","ENSG00000005844",0.040872724934478,0.188538184129259,0.613904778272149
"84","PDK2","ENSG00000005882",0.0143907846201794,0.654169484039942,0.923909624428842
"85","ZFX","ENSG00000005889",-0.0180214885802592,0.546236369784701,0.889354555321114
"86","LAMP2","ENSG00000005893",0.0368548202810872,0.437244669877246,0.83511570251863
"87","ITGA2B","ENSG00000005961",-0.0203383116986874,0.490745790877307,0.86558770525539
"88","GDE1","ENSG00000006007",0.0468754264368218,0.396871217862738,0.808381746715216
"89","REX1BD","ENSG00000006015",-0.084504439091143,0.154879395737171,0.565498070915837
