,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
7892501,NA,-0.389791866,5.096425721,-0.711879469,0.484408853,0.649418409,-6.035595044
7892502,NA,-0.187511019,6.415217889,-1.037331697,0.311432013,0.492376867,-5.758263906
7892503,NA,-0.173557485,4.972944914,-0.478025298,0.637593015,0.768281932,-6.173942406
7892504,NA,0.263538149,9.523745009,2.240577314,0.036045801,0.151868534,-4.020205419
7892505,NA,-0.395570252,5.211017253,-1.255877288,0.223016013,0.404541522,-5.520202288
7892506,NA,-0.351905802,6.646508185,-0.595627142,0.557818486,0.708297377,-6.110934648
7892507,NA,0.25996142,7.912752498,0.771037575,0.449312301,0.620419017,-5.992364517
7892508,NA,-0.75568241,8.46485094,-2.556479922,0.0184216,0.110182149,-3.424589546
7892509,NA,-0.402732926,11.99264255,-2.074782913,0.050545768,0.179083657,-4.314142573
7892510,NA,-0.17349417,5.282672447,-0.497715567,0.62387967,0.757979176,-6.1643299
7892511,NA,-0.222589905,5.298580855,-0.975744939,0.340347785,0.521252941,-5.81802272
7892512,NA,0.598069522,8.918213396,3.875385712,0.000880752,0.029805178,-0.621897133
7892513,NA,-0.012125515,4.676283433,-0.029957349,0.976385234,0.987027116,-6.288513916
7892514,NA,-0.074285369,11.08013387,-0.343956407,0.734314704,0.836628801,-6.229254265
7892515,NA,0.194327582,11.14350929,1.17909223,0.251607618,0.434399473,-5.60836588
7892516,NA,-0.764611357,5.960787198,-2.102834512,0.04777178,0.174337838,-4.265407148
7892517,NA,-0.417796608,8.382558767,-2.365494481,0.027752223,0.133169875,-3.789885019
7892518,NA,0.029994599,4.616525394,0.169461606,0.867062703,0.923947478,-6.274441376
7892519,NA,0.142125043,7.655517683,0.544932125,0.591566973,0.73422808,-6.139740031
7892520,NA,0.330946559,10.8341299,1.461894485,0.158641013,0.332280921,-5.260658911
7892521,NA,0.13554215,9.428675492,0.690947193,0.497200174,0.659710332,-6.050106368
7892522,NA,0.200345523,8.985436835,1.309155247,0.20469002,0.384213519,-5.456240978
7892524,NA,-0.580479822,7.844024419,-2.871470068,0.009162708,0.082079822,-2.7924932
7892525,NA,0.496204354,8.624748572,3.114047954,0.005269866,0.06583175,-2.285445015
7892526,NA,-0.445326323,8.161401224,-1.525147097,0.142209777,0.311687661,-5.174550563
7892527,NA,-0.14002896,11.12567242,-0.478739616,0.637093152,0.767985326,-6.173600313
7892528,NA,-0.032018969,3.392011648,-0.220624847,0.82752504,0.899490786,-6.264357558
7892529,NA,0.161017138,8.119035965,0.987756696,0.334567429,0.515649495,-5.806627523
7892530,NA,-0.112395194,9.343924271,-0.445986829,0.660191773,0.784217668,-6.188771641
7892531,NA,-0.74620342,8.597087958,-2.762825203,0.01169135,0.091139046,-3.014238608
7892532,NA,-0.181689982,5.856951666,-0.847031014,0.406570826,0.582337023,-5.93207636
7892533,NA,0.09725498,8.145693465,0.245101613,0.808767773,0.886978048,-6.258602429
7892534,NA,-0.108498061,7.334270956,-0.43333025,0.66921334,0.790730894,-6.19435203
7892535,NA,0.15560861,8.396659715,0.450254754,0.657161434,0.781896034,-6.186854362
7892536,NA,-0.109411091,12.60952037,-1.059762526,0.301344393,0.483273946,-5.735681734
7892537,NA,-0.003654326,4.188948973,-0.016439213,0.987039885,0.99345466,-6.288831403
7892538,NA,0.514145457,6.79704106,1.663268047,0.11117981,0.272202509,-4.976633174
7892539,NA,-0.735908789,7.344568498,-2.898989006,0.008610549,0.079906759,-2.735764942
7892540,NA,0.105334838,7.148319925,0.354041938,0.726853446,0.831656616,-6.225712004
7892541,NA,0.160773523,10.86478848,0.921298409,0.367405372,0.546479794,-5.868076678
7892542,NA,0.178859078,10.67195095,0.699255252,0.492100275,0.655969528,-6.044396169
7892543,NA,0.275335213,7.452102949,1.437168003,0.165470202,0.341303434,-5.293520413
7892544,NA,0.385286331,6.403649337,1.401448805,0.175752277,0.352943276,-5.340183515
7892545,NA,0.379526868,7.538732197,2.514463652,0.020179119,0.114212229,-3.506229133
7892547,NA,0.460672094,5.790472817,2.171976566,0.041511563,0.162815383,-4.143523509
7892548,NA,-0.255838653,8.772027069,-1.134543672,0.269408988,0.451732857,-5.657295255
7892549,NA,-0.576868911,7.493224125,-1.285258166,0.212759551,0.393610005,-5.485208768
7892550,NA,-0.035659487,7.13545754,-0.130559041,0.89737237,0.942521223,-6.280343043
7892551,NA,0.174585856,12.10982928,0.92243977,0.366823765,0.545931743,-5.867054429
7892552,NA,-0.168405429,6.77410472,-0.348036842,0.731292713,0.834848682,-6.227833309
7892553,NA,-0.423577342,5.701847977,-1.028785579,0.31533759,0.495991132,-5.766753515
7892554,NA,-0.454394672,5.703763551,-1.435286537,0.165999421,0.34197066,-5.296002243
7892555,NA,-0.248490114,8.911302343,-1.427852079,0.168103957,0.344045704,-5.305783075
7892556,NA,-0.401577769,12.88317657,-2.862398611,0.009352035,0.082842714,-2.811145104
7892557,NA,0.028089119,6.116308489,0.097690823,0.923108409,0.958149559,-6.284138269
7892558,NA,0.639707786,5.524854851,2.397737046,0.025918372,0.128856453,-3.729289121
7892559,NA,-0.16130252,7.580268305,-1.117857893,0.276310176,0.458676878,-5.675195425
7892560,NA,-0.012449421,6.87234908,-0.075244503,0.9407356,0.967436941,-6.286102543
7892561,NA,0.064794464,11.4263095,0.382372302,0.706045034,0.817397918,-6.215221319
7892562,NA,-0.751205175,8.891941143,-2.570893823,0.0178525,0.108903482,-3.396425467
7892563,NA,0.361819675,9.019221231,1.379676866,0.182266353,0.360515788,-5.368152457
7892564,NA,0.112844481,12.44168482,0.800861716,0.432220191,0.60519788,-5.969337155
7892565,NA,0.036690286,7.776749133,0.233889029,0.817346418,0.892476674,-6.261313483
7892566,NA,-0.043279421,5.670421534,-0.112236039,0.911707004,0.951335259,-6.282593417
7892567,NA,-0.215224663,7.552009151,-0.763358579,0.453778909,0.623995803,-5.998160221
7892568,NA,-0.413778832,11.89343662,-1.648445659,0.114209922,0.276450113,-4.998503861
