,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B, -log10
7892501,NA,-0.133494367,5.102031315,-0.376956974,0.709411931,0.999903525,-4.99591144,0.149101512
7892502,NA,-0.13811345,6.399440628,-1.338390487,0.192911292,0.999903525,-4.517316328,0.71464235
7892503,NA,-0.267238532,4.923491029,-1.219870999,0.233988026,0.999903525,-4.602089578,0.630806366
7892504,NA,0.122318645,9.527970855,1.582610695,0.126181138,0.999903525,-4.323205043,0.89900556
7892505,NA,-0.237285205,5.191252977,-1.226647505,0.231474162,0.999903525,-4.59741828,0.635497479
7892506,NA,-0.242545298,6.621062441,-0.64484946,0.524945666,0.999903525,-4.91341239,0.279885646
7892507,NA,0.082601956,7.907406845,0.419950345,0.678137819,0.999903525,-4.985515583,0.168682035
7892508,NA,-0.089020656,8.518164017,-0.501775209,0.620251391,0.999903525,-4.962702118,0.207432253
7892509,NA,-0.127451857,12.00105288,-1.000904926,0.326539417,0.999903525,-4.740997948,0.486064387
7892510,NA,-0.223115732,5.244242931,-1.057713435,0.300380686,0.999903525,-4.707252699,0.522327995
7892511,NA,-0.148452453,5.283726733,-1.001248382,0.326376675,0.999903525,-4.74079889,0.486280886
7892512,NA,-0.054487099,8.844784669,-0.562881799,0.578569102,0.999903525,-4.943101026,0.237644763
7892513,NA,-0.221939168,4.622011192,-0.874328499,0.390328102,0.999903525,-4.810161401,0.40857018
7892514,NA,0.005475235,11.08893122,0.044724823,0.964684833,0.999903525,-5.038630889,0.01561455
7892515,NA,0.17425679,11.16764073,1.801191577,0.083845616,0.999903525,-4.129483531,1.07651964
7892516,NA,-0.138796907,6.002549107,-0.652170721,0.520290468,0.999903525,-4.910573256,0.283754131
7892517,NA,-0.067576912,8.407444199,-0.544611425,0.590884868,0.999903525,-4.949189692,0.228497132
7892518,NA,-0.073856554,4.595061796,-0.599853754,0.55404559,0.999903525,-4.930188413,0.256454498
7892519,NA,-0.10756744,7.614413319,-0.662691772,0.513640441,0.999903525,-4.906439848,0.28934079
7892520,NA,0.035994512,10.81003387,0.270764709,0.788812831,0.999903525,-5.016842943,0.103026034
7892521,NA,0.005923131,9.41660206,0.048646314,0.961590822,0.999903525,-5.038518794,0.01700969
7892522,NA,-0.028586104,8.958255757,-0.330409703,0.743865555,0.999903525,-5.005921028,0.128505551
7892524,NA,0.074264449,7.920638514,0.591441554,0.559577694,0.999903525,-4.933195783,0.252139606
7892525,NA,0.036802189,8.584328683,0.357873309,0.72346614,0.999903525,-5.000172264,0.14058179
7892526,NA,-0.254612897,8.142280632,-1.551494446,0.133452436,0.999903525,-4.349310234,0.874673494
7892527,NA,-0.312008074,11.0616733,-1.719732946,0.097939147,0.999903525,-4.20372147,1.009043683
7892528,NA,-0.027643795,3.388302596,-0.331163802,0.74330279,0.999903525,-5.005769224,0.128834237
7892529,NA,0.128510292,8.135061824,1.491797063,0.148364636,0.999903525,-4.398302134,0.828669605
7892530,NA,-0.092421919,9.33205831,-0.577979252,0.568489686,0.999903525,-4.937923623,0.24527741
7892531,NA,0.034054175,8.680221844,0.211913095,0.833906816,0.999903525,-5.025511208,0.078882476
7892532,NA,-0.041802814,5.864669961,-0.256998777,0.799299974,0.999903525,-5.019058591,0.097290201
7892533,NA,-0.066308723,8.119390786,-0.257301666,0.799068805,0.999903525,-5.019011074,0.097415824
7892534,NA,0.03036671,7.352712439,0.181424747,0.857508859,0.999903525,-5.029174862,0.066761385
7892535,NA,0.05597932,8.395093684,0.230094005,0.819906104,0.999903525,-5.023057559,0.08623588
7892536,NA,-0.033684049,12.61204047,-0.531863363,0.5995533,0.999903525,-4.953322994,0.222172202
7892537,NA,-0.02315227,4.183526338,-0.159832054,0.874308054,0.999903525,-5.031427244,0.058335521
7892538,NA,-0.01543362,6.741768109,-0.094579472,0.925408898,0.999903525,-5.036505146,0.033666329
7892539,NA,-0.280517724,7.348029946,-1.579653555,0.126857794,0.999903525,-4.325702445,0.896682845
7892540,NA,0.075840911,7.156746669,0.417127461,0.68017403,0.999903525,-4.986231921,0.167379954
7892541,NA,-0.052204372,10.83566004,-0.488991154,0.629144723,0.999903525,-4.966526613,0.201249442
7892542,NA,-0.145201386,10.61776469,-0.952036071,0.350266083,0.999903525,-4.768698206,0.455601914
7892543,NA,0.051007213,7.437321231,0.432146382,0.669369351,0.999903525,-4.982366314,0.174334177
7892544,NA,0.046019776,6.376625647,0.26638874,0.792142229,0.999903525,-5.017559693,0.101196834
7892545,NA,-0.066541544,7.484144124,-0.698959849,0.491080869,0.999903525,-4.891710284,0.308846984
7892547,NA,-0.246346724,5.682818926,-1.61388969,0.119204955,0.999903525,-4.296579411,0.923705692
7892548,NA,-0.053816701,8.784156759,-0.358799376,0.722781797,0.999903525,-4.999970533,0.140992794
7892549,NA,0.201759375,7.60135086,0.691932431,0.495407534,0.999903525,-4.894622385,0.305037393
