,Symbol,logFC,P.Value,adj.P.Val
7892501,NA,-0.301024783,0.432483753,0.629204931
7892502,NA,-0.172744266,0.548615723,0.722538165
7892503,NA,-0.142437213,0.626918457,0.778260528
7892504,NA,-0.376584565,0.002839311,0.027824689
7892505,NA,0.509961323,0.084508151,0.230758397
7892506,NA,0.156355529,0.302923945,0.509571517
7892507,NA,0.377648568,0.127543452,0.298734829
7892508,NA,0.030809359,0.882461185,0.939161556
7892509,NA,0.368484206,0.041230718,0.148098294
7892510,NA,-0.469847813,0.071017551,0.207691826
7892511,NA,-0.362829183,0.014183635,0.074397054
7892512,NA,-0.017743149,0.937073021,0.967941996
7892513,NA,-0.216065777,0.43646233,0.632347017
7892514,NA,0.136601367,0.487651286,0.674083563
7892515,NA,-0.35089054,0.017624423,0.08563263
7892516,NA,-0.090694593,0.772349247,0.873173415
7892517,NA,-0.893831497,0.001012179,0.015337716
7892518,NA,-0.618652645,0.005797725,0.042823173
7892519,NA,0.306415246,0.066083125,0.198267239
7892520,NA,-0.21850503,0.079787633,0.222633772
7892521,NA,-0.140734901,0.424713598,0.62191433
7892522,NA,-0.151229613,0.269253946,0.475189462
7892524,NA,-0.329657568,0.082292332,0.227072825
7892525,NA,-0.386828274,0.045874306,0.157650612
7892526,NA,0.200217827,0.280529056,0.48637209
7892527,NA,0.023162373,0.881211479,0.938423853
7892528,NA,-0.21140883,0.01718668,0.084230922
7892529,NA,0.01855099,0.901168931,0.948423474
7892530,NA,-0.227064542,0.105303677,0.264963336
7892531,NA,-0.320660132,0.148741293,0.328751333
7892532,NA,-0.370202343,0.065585709,0.197647112
7892533,NA,-0.458349184,0.005110166,0.03963946
7892534,NA,-0.705961468,0.003059951,0.029033634
7892535,NA,-0.329483729,0.149601316,0.329776566
7892536,NA,0.263755627,0.116224007,0.282248614
7892537,NA,-0.137427231,0.39665743,0.597084197
7892538,NA,-0.722603879,0.011658415,0.065605921
7892539,NA,-0.511426707,0.069928281,0.205598408
7892540,NA,-0.20686255,0.227542188,0.427710976
7892541,NA,-0.209043265,0.313612131,0.520114714
7892542,NA,0.276831483,0.164566851,0.34975314
7892543,NA,-0.001532265,0.995168432,0.99789566
7892544,NA,0.27360036,0.0319906,0.125588858
7892545,NA,-0.059664902,0.64053474,0.787426546
7892547,NA,-0.65635969,0.010168611,0.060246308
7892548,NA,-0.246258823,0.119265192,0.286978102
7892549,NA,0.544745342,0.067782282,0.201399629
7892550,NA,-0.249371762,0.126898247,0.297810186
7892551,NA,-0.269514714,0.03174915,0.125047487
7892552,NA,-0.283170802,0.198119822,0.393040736
7892553,NA,0.130220884,0.689222031,0.8195788
7892554,NA,-0.400487903,0.11720098,0.283669481
7892555,NA,-0.346950598,0.168792769,0.35524691
7892556,NA,0.124932248,0.147516589,0.326742077
7892557,NA,-0.213911794,0.51983224,0.700168039
7892558,NA,0.042463822,0.863562663,0.928149722
7892559,NA,0.217224674,0.160934265,0.34506217
7892560,NA,-0.235898747,0.13584344,0.310120457
7892561,NA,0.025290144,0.801821089,0.892606897
7892562,NA,0.517180553,0.000541717,0.010938484
7892563,NA,-0.265659588,0.030974632,0.123000874
7892564,NA,0.122550758,0.385863391,0.587287714
7892565,NA,-0.318796421,0.021597995,0.097657309
7892566,NA,0.29749798,0.268546039,0.474616638
7892567,NA,-0.458769869,0.019390899,0.091130381
7892568,NA,0.300423246,0.044637805,0.155162855
7892569,NA,0.24202578,0.140746678,0.317251701
7892570,NA,0.182591624,0.40870991,0.607644842
7892571,NA,-0.608922305,0.030999316,0.123030325
7892572,NA,-0.150867306,0.560265182,0.731431082
7892573,NA,-0.408823934,0.029449904,0.119337161
7892574,NA,0.429090757,0.066999333,0.199914868
7892575,NA,-0.271077017,0.215279401,0.41315033
7892576,NA,0.266889332,0.119876795,0.287802844
7892577,NA,0.067990953,0.791047662,0.885734052
7892578,NA,0.212992392,0.297679843,0.504445301
7892579,NA,0.118231026,0.51206814,0.694005733
7892580,NA,0.416781342,0.078895454,0.221462635
7892581,NA,-0.481555208,0.107678817,0.268668532
7892582,NA,-0.258811511,0.278709768,0.484562684
7892583,NA,-0.494570048,0.000545074,0.01097964
7892584,NA,-0.40005586,0.019220079,0.090572048
7892585,NA,-0.477726372,0.065956577,0.198197576
7892586,NA,0.046033727,0.842187224,0.915966291
7892587,NA,0.118095002,0.719868297,0.839857115
7892588,NA,-0.099916363,0.388597464,0.589508851
7892589,NA,-0.204717531,0.635601968,0.784303244
7892590,NA,-0.308852208,0.341206614,0.547209161
7892591,NA,-0.564276243,0.081903195,0.226374257
7892592,NA,-0.400097629,0.007170119,0.048469737
7892593,NA,-0.243524338,0.251336358,0.455392431
7892594,NA,-0.367306298,0.098914361,0.254780805
