,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
7892501,NA,0.966568486,6.232246942,4.442745634,0.000736974,0.011230676,-0.452742157
7892502,NA,-0.480657413,6.971199088,-2.32372472,0.037811604,0.134180216,-4.297084113
7892503,NA,-0.246601997,5.134663577,-1.074057858,0.303192381,0.504444479,-6.088005825
7892504,NA,0.186382864,9.456599737,2.082628733,0.058545274,0.177912019,-4.700737737
7892505,NA,-0.57952692,5.862511929,-2.569153266,0.02400802,0.099886924,-3.869397127
7892506,NA,-0.590499071,7.916808905,-4.058099908,0.001478417,0.017021733,-1.145778659
7892507,NA,0.070710564,6.729543102,0.423464528,0.679187049,0.81600964,-6.579551746
7892508,NA,-0.724353032,8.903773162,-4.748788808,0.000428923,0.008199626,0.08725085
7892509,NA,-0.052682887,12.65818286,-0.80917184,0.433623109,0.626773252,-6.335038335
7892510,NA,-0.339861715,5.981758841,-1.317345855,0.211475073,0.402324621,-5.811284249
7892511,NA,-0.539884015,5.363514523,-4.698588057,0.000468364,0.008601828,-0.000549097
7892512,NA,-0.223074429,8.831301534,-0.893495599,0.388553372,0.586954978,-6.262970366
7892513,NA,-0.811419385,5.606061114,-3.166647011,0.007800521,0.048174108,-2.785906334
7892514,NA,0.55361239,11.46516794,4.290252024,0.000969277,0.013314367,-0.7257663
7892515,NA,-0.10996838,11.08914533,-0.979359655,0.346068241,0.546823873,-6.183188525
7892516,NA,0.831859875,5.406220943,2.543015938,0.025206342,0.103056923,-3.915599901
7892517,NA,-0.470291711,7.513094374,-2.270390197,0.041688474,0.142618012,-4.387962322
7892518,NA,-0.007082836,4.735857088,-0.02944972,0.976973205,0.988972633,-6.67375425
7892519,NA,-0.36310835,8.133238201,-4.065811068,0.001457695,0.01688742,-1.131751589
7892520,NA,-0.429290269,10.70259001,-3.859087925,0.002132449,0.021364831,-1.509324437
7892521,NA,-0.374309292,8.957310585,-2.614966115,0.022039993,0.094974199,-3.788087831
7892522,NA,0.174724855,8.24694431,1.163812389,0.266339949,0.465929446,-5.991131731
7892524,NA,-0.854668295,7.972904471,-4.728479496,0.000444445,0.008351407,0.051768427
7892525,NA,-0.622079163,8.761623476,-3.725411225,0.002732744,0.024692588,-1.754904871
7892526,NA,-0.198865851,9.528419551,-1.270073,0.227304771,0.421999831,-5.868489051
7892527,NA,0.021148656,11.44870684,0.177984757,0.861600938,0.925831039,-6.657391982
7892528,NA,0.255630847,3.237573851,2.360378271,0.035349344,0.128230429,-4.234162893
7892529,NA,-0.318461709,8.118603631,-2.58230126,0.023426346,0.09840129,-3.846103528
7892530,NA,0.29170162,9.673860304,1.914270406,0.078871093,0.215631069,-4.970156813
7892531,NA,-0.781835771,8.632404205,-3.147377154,0.00808947,0.049386703,-2.821379174
7892532,NA,0.34102615,5.043573738,3.062040911,0.009503579,0.054785436,-2.978217772
7892533,NA,0.416486264,8.491824802,3.735544608,0.002681706,0.024462435,-1.736257338
7892534,NA,0.278377834,6.967764575,1.420943439,0.17991625,0.363313201,-5.680522309
7892535,NA,-0.489644464,8.334516329,-3.601485395,0.003443475,0.028657183,-1.983278013
7892536,NA,-0.014614777,12.65873839,-0.188252093,0.853715612,0.920798097,-6.655397907
7892537,NA,-0.128508647,4.362532377,-0.809892204,0.43322414,0.626441316,-6.33444967
7892538,NA,0.349380733,6.887579926,1.222211407,0.244284621,0.441486377,-5.92476696
7892539,NA,-0.236123368,8.384527355,-0.864840529,0.403498381,0.600486528,-6.28817046
7892540,NA,-0.362190525,6.600437681,-1.19562555,0.25414059,0.452229543,-5.955297701
7892541,NA,0.919805695,11.22207712,5.241195818,0.00018425,0.004983739,0.930825173
7892542,NA,0.13734244,11.55085745,2.28296587,0.040741657,0.140548586,-4.366609059
7892543,NA,-0.48383483,7.224834953,-2.897567961,0.012961991,0.067090844,-3.278934088
7892544,NA,-0.087062402,6.940633551,-0.944157144,0.363069458,0.563070505,-6.216662926
7892545,NA,-0.23653432,7.411397978,-1.688411534,0.116227044,0.276943744,-5.31171918
7892547,NA,-0.007817063,5.647313629,-0.04224081,0.966977278,0.984781845,-6.673266685
7892548,NA,0.077748403,8.43788146,0.476826253,0.641754147,0.78972902,-6.554423068
7892549,NA,0.030746028,7.612136655,0.129536897,0.89900415,0.946794627,-6.665298806
7892550,NA,-0.341123606,7.233392346,-1.976185031,0.070740604,0.201028412,-4.872416754
7892551,NA,-0.185094292,11.99285823,-1.825996691,0.091941463,0.237906038,-5.106579775
7892552,NA,-0.39576333,6.92159031,-1.672126093,0.119448888,0.281538162,-5.335353146
7892553,NA,-0.467438831,6.340690719,-2.027167604,0.064632626,0.189793858,-4.790742444
7892554,NA,-0.575915014,5.679844847,-1.927670328,0.077042142,0.212620988,-4.949142361
7892555,NA,-0.055203172,9.286930896,-0.255870396,0.802233662,0.890536684,-6.639494444
7892556,NA,0.050548063,13.03112501,0.848860102,0.411999071,0.607990638,-6.301908448
7892557,NA,-0.12317702,5.422545139,-0.49286408,0.630694865,0.781695401,-6.546309223
7892558,NA,-0.781114881,5.509762837,-2.685360012,0.01931909,0.087199692,-3.662400508
7892559,NA,0.059775388,8.008559243,0.525607634,0.608404397,0.76506066,-6.528944306
7892560,NA,0.087185405,6.668426595,0.4912465,0.631806161,0.782694015,-6.547139293
7892561,NA,0.38785318,11.59721264,4.097706209,0.001375116,0.016369254,-1.073784276
7892562,NA,-0.095928484,9.208559447,-0.797720162,0.439997574,0.632172566,-6.344333096
7892563,NA,-0.450035836,9.139647247,-3.696608489,0.002883303,0.025574147,-1.807932114
7892564,NA,0.131596895,12.5346477,1.823946689,0.092267035,0.238377983,-5.109705097
7892565,NA,0.386489568,7.884059057,3.022395394,0.010242163,0.057500136,-3.050916203
7892566,NA,-0.923089987,6.317311676,-4.692379322,0.000473498,0.008657918,-0.011429909
7892567,NA,-0.249376348,7.753116877,-1.565077967,0.142641318,0.314043177,-5.487041766
7892568,NA,0.176470524,12.52497379,2.316313205,0.038329009,0.135197964,-4.30976179
7892569,NA,0.071081235,11.33525948,0.490627976,0.632231341,0.782883993,-6.547455999
7892570,NA,-0.157637858,9.707758064,-0.839679978,0.41693603,0.611950938,-6.309697398
7892571,NA,0.252027364,3.76037235,0.87857038,0.396289812,0.593926357,-6.276186341
7892572,NA,-0.283987746,9.00783945,-1.862241863,0.086353975,0.228700262,-5.050995972
7892573,NA,-0.458333422,8.158338603,-2.584628773,0.023324814,0.098172964,-3.841976449
7892574,NA,0.424391029,11.64458775,3.962084435,0.001763368,0.019044714,-1.320824436
7892575,NA,-0.773249477,9.391487498,-4.216746134,0.001107196,0.014350451,-0.85821742
7892576,NA,0.195045553,7.945095028,1.250683612,0.234066449,0.429358227,-5.891489453
7892577,NA,-0.045913769,4.211456375,-0.242740969,0.812162938,0.897411209,-6.642957965
7892578,NA,0.794053968,6.856518746,4.025601157,0.001569139,0.017737153,-1.204948083
7892579,NA,0.302813837,11.52329541,2.750486928,0.017096462,0.080324663,-3.545384523
7892580,NA,-0.320395418,4.90398321,-1.539497476,0.1487285,0.322493674,-5.522311135
7892581,NA,-0.645216533,4.95986952,-2.265332783,0.042075107,0.143386597,-4.396536398
7892582,NA,0.24386903,4.269240907,1.571480886,0.141151685,0.311791791,-5.478153086
7892583,NA,-0.228650066,7.117619214,-1.781817862,0.099191704,0.249746754,-5.173484212
7892584,NA,-0.450531473,7.754989808,-2.616970945,0.02195756,0.094753873,-3.784520503
7892585,NA,-0.189975746,4.151063764,-0.79440508,0.441854115,0.633909969,-6.347001513
7892586,NA,-0.047616185,3.893847119,-0.321103914,0.753463208,0.862785076,-6.619617091
7892587,NA,-0.936180747,5.464267826,-3.161375339,0.007878524,0.048436339,-2.795612501
7892588,NA,-0.051888414,3.519843712,-0.387134396,0.705199477,0.83236018,-6.595003718
7892589,NA,-0.594217851,7.139247119,-2.039225356,0.063261234,0.187269676,-4.77127487
7892590,NA,-0.446357988,4.945171096,-1.579749358,0.13924792,0.308876024,-5.466639074
7892591,NA,-0.421152242,3.807539014,-1.577067556,0.139862942,0.309909921,-5.470377912
7892592,NA,-0.557542726,7.226485768,-3.572436392,0.003635774,0.029613596,-2.036880294
7892593,NA,0.361419009,6.271275703,2.586321412,0.023251246,0.097948396,-3.838974446
7892594,NA,0.413321735,6.610988731,2.091690717,0.057602897,0.176066104,-4.685921554
